Play_no,yd_line,Down,Distance,Play,yds_gained
51,-42,1,10,COLA,6
52,-48,2,4,WIRE,-4
53,-44,3,8,TIDAL,0
54,-13,1,10,DOLL,4
55,-17,2,6,COLA,0
56,-17,3,6,FLORIDA,20
57,-37,1,10,ROBBER,8
58,-45,2,2,WIRE,5
59,50,1,10,SWARM,-5
60,-45,1,15,WOLF,13
61,42,2,2,DOLL,5
62,37,1,10,SWAMP,11
63,26,1,10,ROLL,9
64,17,2,1,COLA,6
65,11,1,10,WIRE,8
66,3,2,2,DOLL,1
67,2,3,1,DOOR,-1
68,3,4,2,WIRE,1
69,-46,1,10,ROLL,1
70,-47,2,9,PITT,-3
1,-24,1,10,BEETLE,0
4,-19,3,15,INDIGO,0
5,-35,1,10,SPADE,2
6,-37,2,8,WOLF,-6
7,-31,3,14,OSCAR,11
8,-25,1,10,COLA,-4
9,-21,2,14,PIEROGI,0
10,-21,3,14,DOVER,0
11,35,1,10,SLOP,-5
12,40,2,15,RANDY,0
13,40,3,15,SHAPE,3
14,37,4,12,INDIGO,0
15,-25,1,10,CAR,1
16,-25,2,10,SNIPED,9
17,-34,3,1,DOLL,1
18,-35,1,10,ROCK,-3
19,-25,1,10,SNIPED,10
20,-40,1,10,NARCOS,0
21,-40,1,10,DOLL,8
22,-48,3,2,WOLF DAZZLE,0
23,-48,4,2,DOOR,3
24,49,1,10,SPICE,-9
25,-42,2,19,YANKEE,0
26,-42,3,19,DOVER,0
27,-25,1,10,CLASH,0
28,-25,2,10,WIRE,9
29,-34,3,1,DOOR,4
30,-38,1,10,RAT,8
31,-46,2,2,PIEROGI,7
32,47,1,10,DOVER,0
33,47,2,10,DOOR,1
34,46,3,9,CRIPPLE,16
35,30,1,10,WEASEL,0
36,30,2,10,WIRE,9
38,11,1,10,BRUINS,7
39,4,2,3,DOOR,2
40,2,3,1,PAROLE,0
41,17,1,17,GATOR,0
42,17,2,17,POLISH,-2
43,19,3,19,DOVER,0
44,-26,1,10,SHAPE,0
45,-26,2,10,VIBE,0
46,-26,3,10,ISLAND,0
48,-35,1,10,WHEEL,-6
49,-29,2,16,VIBE,13
50,-42,3,3,SNIPED,9
51,49,1,10,CROSS,2
52,47,2,8,RANDY,-2
53,49,3,10,SMASH,0
54,49,4,10,FLORIDA,4
55,-37,1,10,WIRE,1
56,-38,2,9,SNIPED,0
57,-38,3,9,CROSS,0
1,-22,1,10,WOLF,-10
2,-12,1,20,TEBOW,0
3,-12,2,20,COLA,2
4,-14,3,18,TIDAL,0
5,-17,1,10,BEAMER,9
6,-26,2,1,COW,0
7,-26,3,1,DOLL,2
8,-28,1,10,PELICAN,-1
9,-27,2,11,FLORIDA,7
10,-34,3,4,CRIPPLE,-5
11,-29,3,9,RED DOG,0
12,-45,1,10,WOLF,-12
13,-33,2,22,SMASH,2
14,-35,3,20,GATOR,3
15,-28,1,10,RAT,3
16,-31,2,7,INDIGO,19
17,50,1,10,WHEEL,19
18,31,1,10,COLA,10
19,21,1,10,RANDY,0
20,21,2,10,POLISH,21
21,-23,1,10,WIRE,3
22,-26,2,7,COW,6
23,-32,3,1,WIRE,18
24,50,1,10,DAZZLE,0
25,50,2,10,PITT,18
26,32,1,10,SHAMPOO,1
27,31,2,9,WIRE,5
28,26,3,4,CORK,0
29,26,4,4,CHINA,-10
31,-27,1,10,DOLL,23
32,50,1,10,STOGIE,0
33,50,2,10,WIRE,1
34,49,3,9,CRIPPLE,5
35,44,4,4,CRIPPLE,0
36,-3,1,10,COLA,3
37,-6,2,7,POKE,20
38,-26,1,10,GLOVE,15
39,-41,1,10,WEASEL,13
40,46,1,10,WOLF,3
41,43,2,7,HUGO,0
42,43,3,7,RANDY,0
43,-9,1,10,WOLF,6
44,-15,2,4,GIANT,19
45,-34,1,10,BACKPACK,24
46,42,1,10,WIRE,3
47,39,2,7,COW,8
48,31,1,10,SWELL,6
49,25,2,4,STEEL,0
50,25,3,4,COLA,9
51,16,1,10,PIEROGI,0
52,16,2,10,CORK,-5
53,21,2,15,DRUMS,8
54,13,3,7,RACE,6
55,7,4,1,DOOR,-2
56,-37,1,10,FLORIDA,2
57,-39,2,8,VIBE,12
58,49,1,10,BACKACHE,8
59,41,2,2,STOGIE,0
60,41,3,2,SNIPED,2
61,39,1,10,CRIPPLE,15
62,24,1,10,WAVE,14
63,10,1,10,SNIPED,1
64,9,2,9,CHESS,3
65,6,3,6,CHINA,6
66,3,0,3,CRICKET,3
1,-12,1,10,WILD,15
2,-27,1,10,DOVER,0
3,-35,1,10,BUBBLE,3
4,-38,2,7,CHORE,3
5,-46,1,10,SPICE,6
6,48,2,4,GRIFFINS,-6
7,-46,3,10,CREEPY,0
8,-36,1,10,WHEEL,0
9,-36,2,10,SNIPED,-1
10,-35,3,11,BACKACHE,0
11,-32,1,10,CORK,10
12,-42,1,10,STOGIE,0
13,-42,2,10,WIRE,5
14,-47,3,5,SPOCK,8
15,45,1,10,WALL,3
16,42,2,7,WOLF DAZZLE,-9
17,-49,3,16,LARRY,-8
18,-41,3,24,OSCAR,0
19,-20,1,10,CORK,3
20,-23,2,7,SWAMP,0
21,-23,3,7,INDIGO,21
22,-44,1,10,COLA,9
23,47,2,1,GLORY,0
24,47,3,1,CRAB,-2
25,49,4,3,BULL,2
26,-27,1,10,CORK,9
27,-36,2,1,WHEEL,5
28,-41,1,10,ROBBER,-4
29,-37,2,14,DOLL,3
30,-40,3,11,DOVER,39
31,21,1,10,WIRE,4
32,17,2,6,WHEEL,-1
33,18,3,7,BACKPACK,0
34,-13,1,10,CROSS,20
35,-33,1,10,DOOR,35
36,32,1,10,COW,-5
37,37,1,15,WHEEL,6
38,31,2,9,COLA,6
39,25,3,3,CORK,16
40,9,1,9,WAR,9
41,-20,1,10,POLISH,0
42,-20,2,10,CORK,3
43,-23,3,7,OSCAR,13
44,-36,1,10,CORK,-1
45,-35,2,11,DOLL,8
46,-43,3,3,CORK,2
47,-38,1,10,CRIPPLE,7
48,-45,2,3,SPOCK,0
49,-35,1,10,SMASH,7
50,-42,2,3,FLORIDA,13
51,45,1,10,SNAIL,15
52,30,1,10,CRIPPLE,20
54,15,1,15,CROW,0
55,15,2,15,CAVE,15
56,3,0,3,CRICKET,0
1,-25,1,10,COLA,17
2,-42,1,10,WAR,11
3,47,1,10,SNIPED,15
4,32,1,10,DOLL,5
5,27,2,5,CHESS,-5
6,32,2,10,PELICAN,11
7,21,1,10,CHESS,0
8,21,2,10,PARMESAN,2
9,19,3,8,TIDAL,0
10,-22,1,10,ROLL,7
11,-29,2,3,TAIL,2
12,-31,3,1,GULLS,5
13,-36,1,10,CROSS,-7
14,-29,2,17,ROLL,6
15,-35,3,11,INDIGO,14
16,-49,1,10,DOLL,2
17,49,2,8,ARM,1
18,48,3,7,WOLF,11
19,37,1,10,DOVER,0
20,37,2,10,RAT,2
21,35,3,8,CROSS,0
22,-16,1,10,WAVE,1
23,-17,2,9,WILD,11
24,-28,1,10,PRESLEY,-5
25,-23,1,15,PRESLEY,3
26,-26,2,12,WAND,2
27,-28,3,10,GATOR,1
28,-11,1,10,BENTLEY,1
29,-12,2,9,SPICE,27
30,-39,1,10,PARROT,19
31,42,1,10,POLISH,6
32,36,2,4,COLA,1
33,35,3,3,CRAB,0
34,35,4,3,Q WOLF,4
35,31,1,10,SLUGGO,-9
36,40,2,19,ROLL,3
37,37,3,16,CHESS,0
38,37,4,16,FLORIDA,0
39,-35,1,10,CROSS,4
40,-39,2,6,VIBE,11
41,50,1,10,FLORIDA,19
43,-25,1,10,CORK,0
44,-25,2,10,WIRE,-1
45,-24,3,11,DOVER,-5
46,-25,1,10,SNIPED,10
47,-35,1,10,SNAIL,12
48,-47,1,10,DOLL,53
49,43,1,10,WIRE,2
50,41,2,8,DOLL,10
51,31,1,10,WAR,16
52,15,1,10,TRACTOR,2
53,13,2,8,CAVE,12
54,1,1,1,SABERS,1
55,-13,1,10,COLA,57
56,30,1,10,CRAB,6
57,24,2,4,TAIL,5
58,19,1,10,PARROT,3
59,16,2,7,RAM,15
60,1,1,1,SABER,-5
61,6,1,6,CORK,6
62,-20,1,10,DOLL,2
63,-22,2,8,ROCK,3
65,-25,3,5,CHORE,0
